Scenario,Metric,Value,StartTime,EndTime,Duration
defense,PacketDeliveryRatio,99.871795,141.000000,160.000000,19.000000
defense,PacketLossRatio,0.128205,141.000000,160.000000,19.000000
defense,EndToEndDelay,0.000282,141.000000,160.000000,19.000000
defense,Jitter,0.000113,141.000000,160.000000,19.000000
defense,Throughput,0.051686,141.000000,160.000000,19.000000
defense,AverageHopCount,0.064185,141.000000,160.000000,19.000000
defense,TotalEnergyConsumed,0.000000,141.000000,160.000000,19.000000
defense,EnergyEfficiency,0.000000,141.000000,160.000000,19.000000
defense,NormalizedRoutingLoad,3.145058,141.000000,160.000000,19.000000
defense,RoutingOverhead,3.145058,141.000000,160.000000,19.000000
defense,MACLayerOverhead,0.000000,141.000000,160.000000,19.000000
defense,AverageTCPacketRows,2.320000,141.000000,160.000000,19.000000
defense,HELLOPacketsPerSec,26.315789,141.000000,160.000000,19.000000
defense,TCPacketsPerSec,98.842105,141.000000,160.000000,19.000000
defense,MIDPacketsPerSec,0.000000,141.000000,160.000000,19.000000
defense,HNAPacketsPerSec,0.000000,141.000000,160.000000,19.000000
defense,MACDataPacketsPerSec,41.052632,141.000000,160.000000,19.000000
defense,MACControlPacketsPerSec,0.000000,141.000000,160.000000,19.000000
